Timestamp,Minutes,Hours,Methane_Volume,Cumulative_Methane_Volume
03/04_14:51,0.0,0.0,0.0,0.0
03/04_14:56,5.0455,0.0841,0.0,0.0
03/04_15:29,37.3164,0.6219,0.05,0.05
03/04_16:29,97.3168,1.6219,1.2,1.25
03/04_17:29,157.3212,2.622,0.2,1.45
03/04_18:29,217.3212,3.622,0.2,1.65
03/04_20:29,337.3212,5.622,0.1,1.75
03/04_22:29,457.3212,7.622,0.4,2.15
04/04_00:29,577.3279,9.6221,0.5,2.65
04/04_02:29,697.3279,11.6221,0.2,2.85
04/04_04:29,817.328,13.6221,0.1,2.95
04/04_06:29,937.3279,15.6221,0.5,3.45
04/04_08:29,1057.332,17.6222,0.0,3.45
04/04_10:29,1177.3379,19.6223,0.1,3.55
04/04_12:29,1297.3384,21.6223,0.2,3.75
04/04_14:29,1417.3385,23.6223,0.2,3.95
04/04_16:29,1537.3384,25.6223,0.2,4.15
04/04_18:29,1657.3568,27.6226,0.1,4.25
04/04_20:29,1777.3596,29.6227,0.05,4.3
04/04_22:29,1897.3609,31.6227,0.05,4.35
05/04_00:29,2017.356,33.6226,0.05,4.4
05/04_02:29,2137.3569,35.6226,0.0,4.4
05/04_04:29,2257.3599,37.6227,0.1,4.5
05/04_06:29,2377.3606,39.6227,0.1,4.6
05/04_08:29,2497.3605,41.6227,0.0,4.6
05/04_09:29,2557.3602,42.6227,0.0,4.6
05/04_10:37,2625.6366,43.7606,0.0,4.6
05/04_10:38,2626.6366,43.7773,0.1,4.7
05/04_10:39,2627.6366,43.7939,0.1,4.8
05/04_10:40,2628.6134,43.8102,0.2,5.0
05/04_11:40,2688.7887,44.8131,0.05,5.05
05/04_12:40,2748.7945,45.8132,0.0,5.05
05/04_14:40,2868.7944,47.8132,0.1,5.15
05/04_16:40,2988.7949,49.8132,0.1,5.25
05/04_18:40,3108.8008,51.8133,0.1,5.35
05/04_20:40,3228.8017,53.8134,0.1,5.45
05/04_22:40,3348.8043,55.8134,0.1,5.55
06/04_00:40,3468.808,57.8135,0.1,5.65
06/04_02:40,3588.8082,59.8135,0.2,5.85
06/04_04:40,3708.8081,61.8135,0.2,6.05
06/04_06:40,3828.8134,63.8136,0.2,6.25
06/04_08:40,3948.8154,65.8136,0.2,6.45
06/04_10:40,4068.8154,67.8136,0.1,6.55
06/04_12:40,4188.8234,69.8137,0.05,6.6
06/04_14:40,4308.8236,71.8137,0.05,6.65
06/04_16:40,4428.8263,73.8138,0.0,6.65
06/04_18:40,4548.827,75.8138,0.05,6.7
06/04_20:40,4668.8271,77.8138,0.1,6.8
06/04_22:40,4788.8271,79.8138,0.1,6.9
07/04_00:40,4908.8373,81.814,0.0,6.9
07/04_02:40,5028.8379,83.814,0.05,6.95
07/04_04:40,5148.838,85.814,0.1,7.05
07/04_06:40,5268.8379,87.814,0.1,7.15
07/04_08:40,5388.8399,89.814,0.2,7.35
07/04_10:40,5508.8493,91.8142,0.2,7.55
07/04_12:40,5628.8513,93.8142,0.0,7.55
07/04_14:40,5748.8528,95.8142,0.1,7.65
07/04_16:40,5868.8541,97.8142,0.1,7.75
07/04_18:40,5988.8604,99.8143,0.0,7.75
07/04_20:40,6108.8616,101.8144,0.0,7.75
07/04_22:40,6228.8628,103.8144,0.0,7.75
08/04_00:40,6348.8798,105.8147,0.0,7.75
08/04_02:40,6468.881,107.8147,0.0,7.75
08/04_04:40,6588.8722,109.8145,0.0,7.75
08/04_06:40,6708.8714,111.8145,0.05,7.8
08/04_08:40,6828.8714,113.8145,0.05,7.85
08/04_10:40,6948.8713,115.8145,0.05,7.9
08/04_12:40,7068.878,117.8146,0.0,7.9
08/04_14:40,7188.8813,119.8147,0.0,7.9
08/04_16:40,7308.8817,121.8147,0.0,7.9
08/04_18:40,7428.8824,123.8147,0.0,7.9
08/04_20:40,7548.8826,125.8147,0.0,7.9
